experiment,target acc,target std,source acc,source std
AM1AM2Run,19.816,4.7555,29.318,9.5591
AM1AM3Run,57.052,10.793,72.744,11.6638
AM1AM4Run,43.98,3.3004,60.95,4.0242
AM1AM5Run,60.798,3.0386,48.22,11.1958
AM2AM1Run,25.288,6.6382,13.724,3.4179
AM2AM3Run,19.938,15.1533,16.166,13.2792
AM2AM4Run,14.146,1.7088,11.792,1.3449
AM2AM5Run,31.916,5.8286,15.136,4.8891
AM3AM1Run,53.018,17.7237,40.954,18.2615
AM3AM2Run,8.99,2.06,11.94,3.2464
AM3AM4Run,28.434,4.5292,36.498,6.7284
AM3AM5Run,37.154,8.1052,23.95,11.3655
AM4AM1Run,69.404,6.0339,41.972,5.4375
AM4AM2Run,21.914,6.7656,30.758,6.9725
AM4AM3Run,62.616,3.7864,46.798,3.1042
AM4AM5Run,56.028,2.6346,33.584,8.165
AM5AM1Run,56.376,19.8715,41.76,14.3301
AM5AM2Run,10.888,3.3736,12.894,2.686
AM5AM3Run,27.948,3.3931,31.034,3.4138
AM5AM4Run,32.588,4.3853,38.76,5.5503
