experiment,target acc,target std,source acc,source std
AM1AM2Run,27.8012,1.6392,33.8803,3.4145
AM1AM3Run,25.8713,1.6412,28.8803,2.2396
AM1AM4Run,27.9307,1.2602,33.4872,3.2502
AM1AM5Run,31.324,0.8684,37.9872,2.0282
AM2AM1Run,36.7868,1.5799,31.1891,1.0316
AM2AM3Run,31.0612,1.8636,29.782,2.2495
AM2AM4Run,27.1297,1.0116,29.9825,1.4329
AM2AM5Run,28.7212,1.67,29.013,1.2064
AM3AM1Run,25.7504,1.2193,24.1303,1.3358
AM3AM2Run,22.1118,1.1815,23.2377,1.3227
AM3AM4Run,23.2826,1.4628,24.2113,2.7172
AM3AM5Run,22.1968,0.9799,22.9345,0.6128
AM4AM1Run,23.2919,3.1591,20.2882,2.4587
AM4AM2Run,21.537,0.8304,19.9085,1.0004
AM4AM3Run,22.4032,1.3615,21.399,0.8173
AM4AM5Run,21.3376,1.1374,19.5583,1.5508
AM5AM1Run,20.1306,1.2201,19.909,0.5818
AM5AM2Run,19.3033,1.014,19.6499,1.8069
AM5AM3Run,21.4889,2.2889,20.4167,2.3993
AM5AM4Run,19.8205,0.7625,19.9439,0.7085
