experiment,target acc,target std,source acc,source std
AM1AM2Run,15.2291,22.7966,18.1966,35.8803
AM1AM3Run,34.8559,29.7157,38.0855,44.4495
AM1AM4Run,44.4809,20.6428,70.4316,35.1069
AM1AM5Run,41.5806,13.6181,44.0769,23.2434
AM2AM1Run,49.4693,39.4318,39.3347,28.7449
AM2AM3Run,43.4064,28.3212,41.8442,24.6036
AM2AM4Run,42.8489,14.2926,46.9379,19.5398
AM2AM5Run,60.4227,8.1435,62.6378,9.4249
AM3AM1Run,17.1871,19.2744,18.0007,15.5322
AM3AM2Run,40.9799,13.1832,46.3733,17.4957
AM3AM4Run,22.2822,17.1165,24.608,24.3109
AM3AM5Run,20.1265,21.2838,19.9067,27.6841
AM4AM1Run,55.4146,40.1126,38.8903,28.3194
AM4AM2Run,22.8453,19.9388,19.9739,18.3275
AM4AM3Run,54.9784,22.974,48.0488,16.5094
AM4AM5Run,20.0455,13.729,11.3859,8.243
AM5AM1Run,61.0045,17.2396,55.159,8.7781
AM5AM2Run,36.749,25.1993,39.675,27.5062
AM5AM3Run,31.0573,32.7811,30.2459,32.0004
AM5AM4Run,33.5787,21.3489,34.8065,27.9933
