experiment,target acc,target std,source acc,source std
AM1AM2Run,27.7792,1.8319,34.3675,3.3416
AM1AM3Run,26.101,1.9047,28.812,2.5554
AM1AM4Run,28.1326,1.1633,33.2906,3.329
AM1AM5Run,31.1996,0.8381,38.0812,1.9272
AM2AM1Run,36.954,2.0093,30.831,0.965
AM2AM3Run,30.9986,1.8202,29.6139,1.9958
AM2AM4Run,27.2251,0.9788,29.6715,1.5272
AM2AM5Run,28.433,1.086,29.3123,1.2244
AM3AM1Run,25.4591,1.4807,24.2442,1.2043
AM3AM2Run,25.3291,5.8252,26.2506,6.3087
AM3AM4Run,23.1707,1.6232,24.1652,2.6878
AM3AM5Run,22.3941,0.6026,22.9449,0.6617
AM4AM1Run,23.462,3.0392,20.3046,2.3126
AM4AM2Run,21.397,0.9446,20.2392,0.8807
AM4AM3Run,22.6766,1.452,21.4161,0.8473
AM4AM5Run,21.3101,0.9658,19.7536,1.6062
AM5AM1Run,20.4453,0.8831,19.8595,0.6345
AM5AM2Run,19.6829,0.8429,19.2935,1.7815
AM5AM3Run,21.1898,2.2209,20.4959,2.7857
AM5AM4Run,19.547,0.6045,20.2112,1.023
