experiment,target acc,target std,source acc,source std
AM1AM2Run,18.3774,1.3356,0.2137,0.0728
AM1AM3Run,17.2324,1.5599,0.1538,0.0625
AM1AM4Run,16.6092,0.6464,0.2949,0.2687
AM1AM5Run,13.9947,1.0473,0.1581,0.0583
AM2AM1Run,8.8334,0.9026,9.8896,1.0632
AM2AM3Run,14.2852,1.0375,9.6128,1.2935
AM2AM4Run,15.615,1.4221,9.7016,0.8962
AM2AM5Run,18.3333,2.6212,9.2396,1.9637
AM3AM1Run,7.7442,1.5116,3.9314,1.05
AM3AM2Run,17.2165,1.6547,4.5258,1.3409
AM3AM4Run,15.2796,2.2464,6.1292,1.3818
AM3AM5Run,16.0303,2.0662,5.1627,1.3077
AM4AM1Run,8.0682,0.7888,9.0414,0.8229
AM4AM2Run,18.1515,1.2285,8.8357,0.8957
AM4AM3Run,17.2892,1.9414,9.1174,0.9047
AM4AM5Run,15.5601,1.4566,9.5803,1.0737
AM5AM1Run,8.8645,1.4946,10.8209,0.936
AM5AM2Run,15.7549,2.1423,10.1809,0.4272
AM5AM3Run,16.9886,3.9668,11.141,1.9365
AM5AM4Run,16.0969,1.2545,11.9443,2.4014
